170 days,,124 days,,77 days,,28 days,,0 days,
7.85904E-05,284.6092529,7.87338E-05,315.7864685,7.86402E-05,345.45224,7.88557E-05,377.3970642,7.87837E-05,404.8758545
7.96169E-05,285.4756165,7.97257E-05,316.7272644,7.9632E-05,346.4493103,7.98857E-05,378.5071411,7.98137E-05,406.0218811
8.06088E-05,286.2875366,8.07553E-05,317.6343689,8.06397E-05,347.3866272,8.0878E-05,379.5788269,8.08406E-05,407.1646118
8.16093E-05,287.1679688,8.17853E-05,318.5403137,8.16696E-05,348.3827209,8.18946E-05,380.633728,8.18324E-05,408.2170715
8.26392E-05,287.9789734,8.28152E-05,319.4156494,8.26996E-05,349.3222046,8.28984E-05,381.6612549,8.28551E-05,409.2812195
8.36692E-05,288.7658386,8.38274E-05,320.2602539,8.37296E-05,350.2441406,8.39284E-05,382.6566772,8.38851E-05,410.3255005
8.46992E-05,289.5296936,8.48193E-05,321.0985413,8.47588E-05,351.1606445,8.49583E-05,383.6290283,8.49151E-05,411.3494263
8.57291E-05,290.2911987,8.58111E-05,321.915863,8.57506E-05,352.0518494,8.59882E-05,384.5783386,8.59451E-05,412.3617554
8.67591E-05,291.0252686,8.6809E-05,322.705658,8.67636E-05,352.9309082,8.69974E-05,385.5024414,8.6975E-05,413.3544617
8.77891E-05,291.7427368,8.7839E-05,323.4856567,8.77936E-05,353.7903442,8.80112E-05,386.4143982,8.80049E-05,414.3318481
8.88047E-05,292.4439087,8.8869E-05,324.2524414,8.88236E-05,354.6399841,8.90411E-05,387.3164978,8.90349E-05,415.2892151
8.98136E-05,293.1207886,8.9899E-05,324.9925842,8.98536E-05,355.4670105,9.00711E-05,388.2054443,9.00649E-05,416.2278442
9.08435E-05,293.7890015,9.09289E-05,325.7173767,9.08835E-05,356.2741089,9.11011E-05,389.0777588,9.10948E-05,417.1591187
9.18735E-05,294.4358215,9.19589E-05,326.4356689,9.19135E-05,357.0594177,9.21311E-05,389.9367981,9.21248E-05,418.0690308
9.29035E-05,295.0605469,9.29889E-05,327.1324463,9.29435E-05,357.8215637,9.3161E-05,390.7739258,9.31548E-05,418.9540405
9.39335E-05,295.6653137,9.40189E-05,327.8100586,9.39735E-05,358.5661011,9.4191E-05,391.5928345,9.41848E-05,419.8268433
9.49634E-05,296.2453308,9.50488E-05,328.478241,9.50034E-05,359.3009338,9.5221E-05,392.3956909,9.52148E-05,420.671936
9.59934E-05,296.8069153,9.60788E-05,329.1188049,9.60334E-05,360.015625,9.6251E-05,393.1853027,9.62447E-05,421.4993591
9.70234E-05,297.3371582,9.71088E-05,329.7375793,9.70634E-05,360.713501,9.7281E-05,393.9576416,9.72747E-05,422.2980957
9.80534E-05,297.8305359,9.81387E-05,330.3457031,9.80934E-05,361.3963318,9.83109E-05,394.703186,9.83047E-05,423.0733948
9.90833E-05,298.2975464,9.91686E-05,330.9360046,9.91232E-05,362.0531006,9.93409E-05,395.4132385,9.93347E-05,423.8273315
0.000100113,298.7272339,0.000100199,331.5058594,0.000100153,362.6879272,0.000100371,396.1006165,0.000100365,424.5671692
0.000101143,299.1246033,0.000101229,332.0489502,0.000101183,363.3265381,0.000101401,396.7449951,0.000101395,425.3145752
0.000102173,299.4988403,0.000102259,332.5875244,0.000102213,363.8986511,0.000102431,397.3912659,0.000102425,426.0021362
0.000103203,299.9058228,0.000103289,333.0982056,0.000103243,364.4818726,0.000103461,398.0098877,0.000103455,426.6910095
0.000104233,300.2736206,0.000104318,333.5791931,0.000104273,365.0470886,0.000104491,398.6068115,0.000104484,427.3538208
0.000105263,300.5845032,0.000105348,334.0368042,0.000105303,365.5798035,0.000105521,399.1802368,0.000105514,427.9868469
